tX;tY;tZ;rX;rY;rZ;rW;time(s)
0.6727866;8.798942;-1.112759;-0.06786285;0.9319178;0.241227;0.2621705;8.53335
0.6745774;8.801823;-1.114025;-0.07025639;0.9288248;0.2349207;0.2777783;8.566684
0.6762394;8.804349;-1.115798;-0.07197981;0.9258144;0.2270803;0.2934642;8.600017
0.679629;8.806693;-1.119515;-0.07242925;0.9243845;0.2219248;0.30169;8.63335
0.6812569;8.809554;-1.122736;-0.07314911;0.9223509;0.2166536;0.3114148;8.666683
0.6833531;8.813974;-1.12791;-0.073631;0.9205786;0.212109;0.3195674;8.700017
0.6882437;8.814106;-1.131628;-0.07371645;0.9196185;0.2090374;0.3243009;8.733351
0.6926647;8.818466;-1.137611;-0.073878;0.9180301;0.204573;0.3315307;8.766684
0.6972119;8.822791;-1.141644;-0.07375348;0.9164992;0.1995147;0.3387972;8.800017
0.7016322;8.822596;-1.144602;-0.07331496;0.9151788;0.194214;0.3454761;8.83335
0.7065424;8.823756;-1.149897;-0.07306952;0.9140491;0.1905384;0.3505284;8.866684
0.7087204;8.825577;-1.155195;-0.0729442;0.9132149;0.1881826;0.3539845;8.900018
0.712732;8.826684;-1.157021;-0.07227418;0.9127222;0.1846586;0.3572336;8.933351
0.7135228;8.828335;-1.160261;-0.07204659;0.9124946;0.1833695;0.3585227;8.966684
0.7143463;8.827853;-1.165846;-0.07204659;0.9124946;0.1833695;0.3585227;9.000017
0.7162138;8.828704;-1.170952;-0.07204659;0.9124946;0.1833695;0.3585227;9.033351
0.7193651;8.829679;-1.171941;-0.07204659;0.9124946;0.1833695;0.3585227;9.066685
0.7235902;8.830302;-1.1751;-0.07204659;0.9124946;0.1833695;0.3585227;9.100018
0.724701;8.833171;-1.179348;-0.07204659;0.9124946;0.1833695;0.3585227;9.133351
0.729676;8.835839;-1.181475;-0.07204659;0.9124946;0.1833695;0.3585227;9.166684
0.730698;8.837859;-1.186643;-0.07204659;0.9124946;0.1833695;0.3585227;9.200018
0.7358864;8.840053;-1.18799;-0.07198358;0.912786;0.1837389;0.3576032;9.233352
0.7414382;8.839785;-1.191221;-0.07197622;0.9131329;0.1844306;0.3563609;9.266685
0.7463076;8.840075;-1.196332;-0.0719719;0.9133056;0.1847766;0.3557395;9.300018
0.7499247;8.844213;-1.198778;-0.07188947;0.9141064;0.1861845;0.3529544;9.333351
0.7506893;8.846809;-1.199943;-0.07166918;0.9161721;0.1900426;0.3455084;9.366685
0.7524911;8.84761;-1.203313;-0.07041026;0.9208195;0.1969862;0.3291355;9.400019
0.7550621;8.847487;-1.20738;-0.06765296;0.9265566;0.2023394;0.3097977;9.433352
0.7589711;8.850595;-1.209226;-0.06458081;0.931912;0.2070263;0.2907052;9.466685
0.76319;8.854518;-1.210892;-0.0630758;0.93445;0.2101588;0.2804603;9.500018
0.7665848;8.854896;-1.212315;-0.06096927;0.9375908;0.2137682;0.2674123;9.533352
0.7712062;8.856733;-1.214998;-0.05870366;0.9406247;0.2173762;0.2540209;9.566686
