tX,tY,tZ,rX,rY,rZ,rW,time(s)
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,7.366681
1.808223,9.094193,-2.365426,0.03081096,0.9685836,0.1562291,-0.1910207,7.400014
1.808223,9.094193,-2.365426,-0.02754879,-0.9723881,-0.158149,0.1693853,7.433348
1.808223,9.094193,-2.365426,-0.0210267,-0.9783756,-0.1617529,0.1271817,7.466681
1.808223,9.094193,-2.365426,-0.01597174,-0.9822617,-0.1584352,0.09902111,7.500015
1.808223,9.094193,-2.365426,-0.01597174,-0.9822617,-0.1584352,0.09902111,7.533348
1.808223,9.094193,-2.365426,-0.01451934,-0.9831278,-0.1585748,0.0900166,7.566681
1.808223,9.094193,-2.365426,0.0002788073,-0.9852945,-0.1708573,-0.001607817,7.600015
1.808223,9.094193,-2.365426,0.006368212,-0.9832978,-0.1784771,-0.03508489,7.633348
1.808223,9.094193,-2.365426,0.0182003,-0.9768654,-0.191878,-0.09265913,7.666682
1.808223,9.094193,-2.365426,0.02357824,-0.9732437,-0.1964645,-0.1168016,7.700015
1.808223,9.094193,-2.365426,0.03234633,-0.966668,-0.2004106,-0.1560205,7.733348
1.808223,9.094193,-2.365426,0.03855902,-0.9612238,-0.2032223,-0.1823808,7.766682
1.808223,9.094193,-2.365426,0.04599889,-0.9539141,-0.2029817,-0.2161721,7.800015
1.808223,9.094193,-2.365426,0.05399935,-0.9447588,-0.2023265,-0.2521487,7.833349
1.808223,9.094193,-2.365426,0.05911018,-0.938292,-0.2022264,-0.2742599,7.866682
1.808223,9.094193,-2.365426,0.06059041,-0.9360029,-0.2004514,-0.2829255,7.900015
1.808223,9.094193,-2.365426,0.06268616,-0.9329888,-0.1998059,-0.2927115,7.933349
1.808223,9.094193,-2.365426,0.07576077,-0.9091052,-0.1897181,-0.3630361,7.966682
1.808223,9.094193,-2.365426,0.07576077,-0.9091052,-0.1897181,-0.3630361,8.000015
1.808223,9.094193,-2.365426,0.07700718,-0.9045174,-0.1850572,-0.3763936,8.033349
1.808223,9.094193,-2.365426,0.07747614,-0.9027751,-0.1834699,-0.3812262,8.066683
1.808223,9.094193,-2.365426,0.07747614,-0.9027751,-0.1834699,-0.3812262,8.100016
1.808223,9.094193,-2.365426,0.07699557,-0.90377,-0.1836721,-0.3788615,8.133349
1.808223,9.094193,-2.365426,0.07699557,-0.90377,-0.1836721,-0.3788615,8.166682
1.808223,9.094193,-2.365426,0.07651445,-0.9047588,-0.1838731,-0.3764941,8.200016
1.808223,9.094193,-2.365426,0.06864103,-0.9175557,-0.1814761,-0.3470537,8.23335
1.808223,9.094193,-2.365426,0.06510926,-0.9235666,-0.1814092,-0.3314758,8.266683
1.808223,9.094193,-2.365426,0.06201296,-0.9290733,-0.1824908,-0.3157123,8.300016
1.808223,9.094193,-2.365426,0.06129584,-0.930306,-0.1827329,-0.3120614,8.333349
